,U:0,U:1,,,arc_length,p,velMag
,0.91915,3.4985,,,24.22,-0.18391,3.61722807858448
,0.92101,3.499,,,24.289,-0.18558,3.61818468573676
,0.92247,3.4988,,,24.358,-0.18703,3.61836321295969
,0.92403,3.4991,,,24.427,-0.18856,3.61905129155418
,0.9257,3.4996,,,24.496,-0.19018,3.61996141554023
,0.92749,3.5005,,,24.565,-0.19188,3.62128954242822
,0.9294,3.5018,,,24.634,-0.19366,3.62303568848004
,0.93141,3.5034,,,24.703,-0.19553,3.62509808806603
,0.93355,3.5054,,,24.772,-0.19749,3.62758111728739
,0.93547,3.5074,,,24.841,-0.19924,3.63000811030774
,0.93748,3.5098,,,24.91,-0.20102,3.63284527476742
,0.9396,3.5125,,,24.979,-0.20286,3.63600115649047
,0.94184,3.5156,,,25.048,-0.20477,3.63957496771258
,0.94421,3.519,,,25.117,-0.20674,3.6434727286066
,0.94557,3.5199,,,25.186,-0.20864,3.64469458732827
,0.94592,3.5181,,,25.255,-0.21048,3.64304711147138
,0.94615,3.5162,,,25.324,-0.21197,3.64127206653115
,0.94642,3.5145,,,25.393,-0.21345,3.63970068362771
,0.94675,3.513,,,25.462,-0.21498,3.63833815944862
,0.94715,3.5117,,,25.531,-0.21656,3.63718710166249
,0.94761,3.5106,,,25.6,-0.21819,3.63624491365749
,0.94815,3.5097,,,25.669,-0.21988,3.63551681504845
,0.94875,3.5089,,,25.738,-0.22161,3.63490106777337
,0.94933,3.5083,,,25.807,-0.22323,3.63447332345417
,0.94985,3.5076,,,25.876,-0.22467,3.63393351376989
,0.95043,3.5071,,,25.945,-0.22616,3.63360256424667
,0.95108,3.5068,,,26.014,-0.22771,3.63348309565354
,0.95179,3.5066,,,26.083,-0.22931,3.63347598920097
,0.95257,3.5067,,,26.152,-0.23097,3.63377689118361
,0.9534,3.5069,,,26.221,-0.23268,3.6341875529477
,0.95429,3.5073,,,26.29,-0.23442,3.63480710548717
,0.95501,3.5075,,,26.359,-0.23584,3.63518917665917
,0.95577,3.5079,,,26.428,-0.23732,3.63577484216226
,0.95657,3.5084,,,26.497,-0.23885,3.63646761636894
,0.95742,3.5091,,,26.566,-0.24043,3.63736661149244
,0.95832,3.5099,,,26.635,-0.24206,3.63837535617204
,0.95926,3.5108,,,26.704,-0.24374,3.63949122647658
,0.96024,3.5119,,,26.773,-0.24547,3.64081068823964
,0.96121,3.5131,,,26.842,-0.24718,3.64222408345505
,0.96203,3.5143,,,26.911,-0.24871,3.64359797602589
,0.96289,3.5156,,,26.98,-0.25029,3.64507894456348
,0.9638,3.5171,,,27.049,-0.25194,3.64676608106415
,0.96475,3.5187,,,27.118,-0.25365,3.64856029859724
,0.96448,3.5159,,,27.188,-0.25537,3.64578859513275
,0.96391,3.5121,,,27.257,-0.25711,3.641973214907
,0.96339,3.5085,,,27.326,-0.25889,3.63836399252466
,0.96285,3.5052,,,27.395,-0.26049,3.63503881169101
,0.96227,3.5022,,,27.464,-0.26194,3.63199234482949
,0.96172,3.4993,,,27.533,-0.26342,3.62905026810046
,0.9612,3.4965,,,27.602,-0.26492,3.62621258201998
,0.96071,3.4938,,,27.671,-0.26646,3.6234792871079
,0.96024,3.4911,,,27.74,-0.26802,3.62075131258693
,0.9598,3.4886,,,27.809,-0.26961,3.6182241500493
,0.95939,3.4862,,,27.878,-0.27123,3.61580137896152
,0.95891,3.4838,,,27.947,-0.27274,3.61336004684006
,0.95827,3.4814,,,28.016,-0.27401,3.61087625832013
,0.95765,3.4791,,,28.085,-0.27532,3.60849419183404
,0.95707,3.4769,,,28.154,-0.27666,3.60621915514019
,0.95652,3.4748,,,28.223,-0.27803,3.60404849445731
,0.956,3.4727,,,28.292,-0.27944,3.60188579635724
,0.95551,3.4707,,,28.361,-0.28088,3.59982747504655
,0.95505,3.4688,,,28.43,-0.28236,3.59787353064279
,0.95457,3.467,,,28.499,-0.28377,3.59601069032059
,0.95397,3.4654,,,28.568,-0.28487,3.59430882380744
,0.95339,3.4639,,,28.637,-0.28599,3.59270868594992
,0.95282,3.4623,,,28.706,-0.28715,3.5910147928406
,0.95227,3.4608,,,28.775,-0.28834,3.58942262667689
,0.95174,3.4593,,,28.844,-0.28956,3.58783577071192
,0.95122,3.4579,,,28.913,-0.29081,3.58634798902728
,0.95072,3.4565,,,28.982,-0.2921,3.58486551608286
,0.95023,3.4551,,,29.051,-0.29341,3.58338569831661
,0.94951,3.4536,,,29.12,-0.29474,3.58174848364594
,0.94864,3.4521,,,29.189,-0.29611,3.58007154392199
,0.94778,3.4505,,,29.258,-0.29751,3.5783008786853
,0.94694,3.449,,,29.327,-0.29896,3.57663198604497
,0.94612,3.4475,,,29.396,-0.30045,3.57496843404246
,0.94531,3.4461,,,29.465,-0.30198,3.5734040082392
,0.94451,3.4446,,,29.534,-0.30354,3.57174583363654
,0.94373,3.4432,,,29.603,-0.30515,3.57018942815364
,0.94297,3.4418,,,29.672,-0.30677,3.56863834829196
,0.94221,3.4407,,,29.741,-0.30802,3.56737665156064
,0.94146,3.4396,,,29.81,-0.30928,3.56611764971376
,0.94072,3.4384,,,29.879,-0.31055,3.56476488402812
,0.93998,3.4373,,,29.948,-0.31184,3.56350862078374
,0.93924,3.4361,,,30.017,-0.31314,3.56215594655821
,0.93851,3.435,,,30.086,-0.31446,3.56090241653713
,0.93779,3.4339,,,30.155,-0.31578,3.55965156919887
,0.93708,3.4327,,,30.224,-0.31712,3.55830693116825
,0.93637,3.4315,,,30.293,-0.31848,3.55696233138615
,0.93541,3.4296,,,30.362,-0.32006,3.55487665441433
,0.93444,3.4276,,,30.431,-0.32166,3.55269191931977
,0.93348,3.4255,,,30.5,-0.32326,3.55041337880535
,0.9325,3.4234,,,30.569,-0.32486,3.54812962136391
,0.93153,3.4213,,,30.638,-0.32648,3.54584853468108
,0.93055,3.4192,,,30.707,-0.3281,3.54356486359429
